animal,role,lp,pair,epoch,n_bins,n_units_x,n_units_y,n_units_z,k_eff,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,sh_x_cc1,sh_y_cc1
11,learner,84,V1-ACC,naive,13286,67,67,59,20,0.0665,0,0.0,0.0026,0,0.6442,0.6283,0.1839,0.1446,61.93,69.05
11,learner,84,V1-ACC,intermediate,9865,67,67,59,20,-0.2101,0,0.0,0.0775,19,0.498,0.5747,0.1703,0.1828,49.27,68.67
11,learner,84,V1-ACC,expert,10602,67,67,59,20,-0.2411,0,0.0,0.0263,0,0.5021,0.5624,0.1966,0.166,84.3,88.38
11,learner,84,CA1-DMS,naive,13286,28,20,145,20,-0.0544,3,0.0284,-0.0174,8,0.3948,0.3068,0.2318,0.1846,64.43,80.06
11,learner,84,CA1-DMS,intermediate,9865,28,20,145,20,0.0502,0,0.0,-0.0585,-12,0.3222,0.4078,0.2247,0.1948,81.65,75.04
11,learner,84,CA1-DMS,expert,10602,28,20,145,20,0.2083,9,0.1722,0.0048,11,0.2882,0.3016,0.1629,0.1506,87.41,73.7
11,learner,84,CA1-DLS,naive,13286,28,5,160,5,0.0789,2,0.0135,-0.0173,-17,0.4271,0.3934,0.333,0.1614,84.19,87.63
11,learner,84,CA1-DLS,intermediate,9865,28,5,160,5,-0.0671,1,0.015,0.0517,2,0.4556,0.6783,0.4185,0.4631,89.63,85.08
11,learner,84,CA1-DLS,expert,10602,28,5,160,5,0.2547,4,0.1052,-0.0094,-4,0.3922,0.5054,0.4728,0.4851,73.22,59.38
11,learner,84,CA1-ACC,naive,13286,28,67,98,20,0.1091,2,0.0159,0.0258,-7,0.3951,0.6265,0.1717,0.1933,85.5,70.72
11,learner,84,CA1-ACC,intermediate,9865,28,67,98,20,0.1788,1,0.0163,-0.0591,-16,0.3214,0.5774,0.1217,0.1647,80.49,60.67
11,learner,84,CA1-ACC,expert,10602,28,67,98,20,-0.3345,5,0.4178,0.0086,0,0.2906,0.5664,0.1383,0.1531,86.4,88.19
11,learner,84,CA1-V1,naive,13286,28,67,98,20,0.0081,5,0.0558,-0.0324,-3,0.3951,0.6411,0.2098,0.215,59.29,55.85
11,learner,84,CA1-V1,intermediate,9865,28,67,98,20,-0.0103,0,0.0,-0.0097,17,0.3218,0.4982,0.2062,0.2492,84.22,88.98
11,learner,84,CA1-V1,expert,10602,28,67,98,20,0.0789,3,0.0521,0.0221,0,0.2874,0.5049,0.2092,0.2285,39.1,71.54
11,learner,84,DG-DMS,naive,13286,6,20,167,6,-0.1342,0,0.0,-0.0121,25,0.4249,0.4025,0.1719,0.3091,78.23,64.33
11,learner,84,DG-DMS,intermediate,9865,6,20,167,6,0.1264,0,0.0,-0.1472,-19,0.081,0.4509,0.3949,0.4795,63.62,80.2
11,learner,84,DG-DMS,expert,10602,6,20,167,6,0.0019,1,0.0811,-0.0601,-20,0.1188,0.2113,0.2495,0.3753,88.45,84.35
11,learner,84,DG-DLS,naive,13286,6,5,182,5,0.0719,3,0.067,-0.0922,-24,0.4523,0.3931,0.2199,0.1995,72.1,68.32
11,learner,84,DG-DLS,intermediate,9865,6,5,182,5,-0.0221,1,0.009,-0.039,20,0.0966,0.6775,0.4089,0.4884,52.02,68.0
11,learner,84,DG-DLS,expert,10602,6,5,182,5,0.8443,2,0.6506,-0.1371,-6,0.1483,0.5048,0.6224,0.7167,63.5,2.85
11,learner,84,DG-ACC,naive,13286,6,67,120,6,0.0178,0,0.0,0.0372,7,0.4247,0.6637,0.0822,0.2861,42.18,85.72
11,learner,84,DG-ACC,intermediate,9865,6,67,120,6,-0.0567,0,0.0,-0.0395,-4,0.0802,0.5824,0.086,0.2781,80.78,78.37
