animal,role,lp,pair,epoch,n_bins,n_units_x,n_units_y,n_units_z,k_eff,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x_cc1,sh_y_cc1
11,learner,84,CA1-V1,intermediate,3929,23,54,92,20,0.1813,5,0.134,-0.1043,-1,0.2778,0.4059,87.49,83.63
11,learner,84,CA1-V1,expert,4243,23,54,92,20,0.1452,3,0.0656,0.0109,1,0.2289,0.4609,74.72,87.36
11,learner,84,DG-DMS,naive,5331,5,20,144,5,0.3073,1,0.0496,0.0512,0,0.4545,0.4187,75.12,65.83
11,learner,84,DG-DMS,intermediate,3929,5,20,144,5,0.0465,0,0.0,-0.0762,0,0.1043,0.5377,54.69,89.95
11,learner,84,DG-DMS,expert,4243,5,20,144,5,-0.0262,0,0.0,-0.0879,-2,0.0917,0.3109,87.24,74.16
11,learner,84,DG-DLS,naive,5331,5,5,159,5,0.0947,3,0.1912,0.1344,2,0.4541,0.4186,44.35,36.2
11,learner,84,DG-DLS,intermediate,3929,5,5,159,5,0.3035,1,0.0483,0.0882,2,0.2237,0.6862,50.79,68.09
11,learner,84,DG-DLS,expert,4243,5,5,159,5,0.5192,2,0.1861,-0.088,0,0.0936,0.5076,56.16,8.42
11,learner,84,DG-ACC,naive,5331,5,62,102,5,0.0907,0,0.0,0.1812,2,0.4549,0.6062,11.54,75.29
11,learner,84,DG-ACC,intermediate,3929,5,62,102,5,-0.2729,3,0.0558,0.0037,-2,0.1057,0.5336,71.49,59.38
11,learner,84,DG-ACC,expert,4243,5,62,102,5,0.0868,1,0.0578,-0.0104,0,0.0923,0.5273,35.13,55.57
11,learner,84,DG-V1,naive,5331,5,54,110,5,0.1591,2,0.0283,-0.0719,0,0.4573,0.6125,58.07,42.41
11,learner,84,DG-V1,intermediate,3929,5,54,110,5,0.3981,3,0.1383,0.0106,0,0.1039,0.456,68.86,78.27
11,learner,84,DG-V1,expert,4243,5,54,110,5,0.1984,2,0.0368,0.0531,2,0.0906,0.5273,77.75,63.05
11,learner,84,DG-CA1,naive,5331,5,23,141,5,0.0804,1,0.1482,-0.0694,-1,0.4546,0.3445,73.76,80.32
11,learner,84,DG-CA1,intermediate,3929,5,23,141,5,0.3511,3,0.0994,-0.0116,0,0.1004,0.4895,36.14,73.77
11,learner,84,DG-CA1,expert,4243,5,23,141,5,0.4695,2,0.133,-0.0804,0,0.09,0.3618,35.04,36.12
13,learner,23,CA1-V1,naive,7294,21,57,0,20,0.0875,0,0.0,-0.0451,0,0.4714,0.5242,84.58,83.65
13,learner,23,CA1-V1,intermediate,8216,21,57,0,20,0.0913,0,0.0,0.0783,1,0.3598,0.5181,89.25,80.06
13,learner,23,CA1-V1,expert,7514,21,57,0,20,0.061,0,0.0,0.0839,2,0.281,0.5132,75.72,68.14
14,learner,39,DMS-DLS,naive,5899,29,13,21,13,0.0744,0,0.0,-0.0201,0,0.4324,0.252,65.98,88.86
14,learner,39,DMS-DLS,intermediate,4790,29,13,21,13,0.073,0,0.0,0.053,0,0.4694,0.3109,82.97,70.43
14,learner,39,DMS-DLS,expert,4206,29,13,21,13,-0.0213,1,0.0258,0.1326,2,0.4828,0.3105,89.37,89.03
14,learner,39,DMS-ACC,naive,5899,29,21,13,20,0.1881,0,0.0,0.0584,0,0.4238,0.7962,87.76,54.65
14,learner,39,DMS-ACC,intermediate,4790,29,21,13,20,0.0213,0,0.0,-0.2205,0,0.4641,0.4787,83.51,89.98
14,learner,39,DMS-ACC,expert,4206,29,21,13,20,0.2228,0,0.0,0.0176,2,0.4544,0.9205,60.33,90.0
14,learner,39,DLS-ACC,naive,5899,13,21,29,13,0.0088,0,0.0,0.0285,0,0.2508,0.9303,88.3,89.74
14,learner,39,DLS-ACC,intermediate,4790,13,21,29,13,0.0082,0,0.0,0.114,1,0.3154,0.4334,68.02,89.92
14,learner,39,DLS-ACC,expert,4206,13,21,29,13,0.0004,0,0.0,0.0307,-2,0.3092,0.3964,86.53,89.62
