group,area,epoch,animal,reliability,shuffle,obs_minus_shuffle
Control 2 (Temporal),DLS,Naive,6,0.110819179121466,0.0789210501992523,0.0318981289222133
Control 2 (Temporal),DLS,Intermediate,1,0.0660099039677133,0.0512977755760896,0.0147121283916236
Control 2 (Temporal),DLS,Intermediate,2,0.176543795747524,0.213796219166673,-0.037252423419149
Control 2 (Temporal),DLS,Intermediate,3,0.253319909730083,0.135927467559633,0.11739244217045
Control 2 (Temporal),DLS,Intermediate,6,0.127963812853221,0.0766487136627983,0.0513150991904223
Control 2 (Temporal),DLS,Expert,1,0.0946738758872634,0.064953320588439,0.0297205552988244
Control 2 (Temporal),DLS,Expert,2,0.214061334751646,0.191060285188845,0.0230010495628011
Control 2 (Temporal),DLS,Expert,3,0.279776920759607,0.151229597113504,0.128547323646103
Control 2 (Temporal),DLS,Expert,6,0.22814533993797,0.122464465443079,0.10568087449489
Control 2 (Temporal),ACC,Naive,1,0.0466164231379915,0.0241570772838493,0.0224593458541422
Control 2 (Temporal),ACC,Naive,2,0.140881736567574,0.0371402074065736,0.103741529161
Control 2 (Temporal),ACC,Naive,3,0.0151757623803718,0.0151203071768345,5.54552035372542e-05
Control 2 (Temporal),ACC,Naive,4,0.25923364743558,0.0251205561951868,0.234113091240393
Control 2 (Temporal),ACC,Naive,5,0.0519637696235977,0.0198975397769502,0.0320662298466475
Control 2 (Temporal),ACC,Naive,6,0.0415375217066154,0.0195965508376296,0.0219409708689858
Control 2 (Temporal),ACC,Intermediate,1,0.0365513977019663,0.0295000519309133,0.00705134577105304
Control 2 (Temporal),ACC,Intermediate,2,0.0682729633037706,0.0679395110456655,0.000333452258105146
Control 2 (Temporal),ACC,Intermediate,3,0.0275567482791495,0.00559945431254251,0.021957293966607
Control 2 (Temporal),ACC,Intermediate,4,0.155391786579362,0.0158480611525964,0.139543725426765
Control 2 (Temporal),ACC,Intermediate,5,0.0374436955510292,0.0143302854360859,0.0231134101149432
Control 2 (Temporal),ACC,Intermediate,6,0.0207100246586035,0.0175907554532789,0.00311926920532466
Control 2 (Temporal),ACC,Expert,1,0.0605704463294844,0.0275286086707506,0.0330418376587338
Control 2 (Temporal),ACC,Expert,2,0.0539401663934251,0.0430249102142248,0.0109152561792003
Control 2 (Temporal),ACC,Expert,3,0.0225057204290719,0.0148073384068571,0.00769838202221484
Control 2 (Temporal),ACC,Expert,4,0.121709585423257,0.0282369985944374,0.0934725868288199
Control 2 (Temporal),ACC,Expert,5,0.0377766812425231,0.0148352155839596,0.0229414656585636
Control 2 (Temporal),ACC,Expert,6,0.0636560487480389,0.036078395727591,0.0275776530204478
