group,condition,epoch,animal,decoding_error,norm_entropy
Task (Spatial),No-DMS,Intermediate,13,0.350940744582422,0.0611020287550996
Task (Spatial),No-DMS,Intermediate,14,0.344803876695365,0.217118253007062
Task (Spatial),No-DMS,Intermediate,15,0.308440192163531,0.139040010606798
Task (Spatial),No-DMS,Expert,1,0.277898251662308,0.156873021975232
Task (Spatial),No-DMS,Expert,2,0.279115030186188,0.0760498447089007
Task (Spatial),No-DMS,Expert,3,0.34146899255522,0.288236465417333
Task (Spatial),No-DMS,Expert,4,0.304639099489696,0.0593651192845018
Task (Spatial),No-DMS,Expert,5,0.238295970174128,0.0225946837165526
Task (Spatial),No-DMS,Expert,6,0.327853403033002,0.63343052502109
Task (Spatial),No-DMS,Expert,7,0.140342982308927,0.117527051874516
Task (Spatial),No-DMS,Expert,8,0.361994741249485,0.255868964864294
Task (Spatial),No-DMS,Expert,9,0.218799583659946,0.126331898198788
Task (Spatial),No-DMS,Expert,10,0.371852169667694,0.0951437554289043
Task (Spatial),No-DMS,Expert,11,0.198010770078952,0.0543747215002094
Task (Spatial),No-DMS,Expert,13,0.380148744340679,0.129001447284276
Task (Spatial),No-DMS,Expert,14,0.39682368960364,0.193795577956901
Task (Spatial),No-DLS,Naive,1,0.286039289998468,0.0759919200829346
Task (Spatial),No-DLS,Naive,2,0.349158333370308,0.0760218653457622
Task (Spatial),No-DLS,Naive,3,0.301205658161196,0.155620844229429
Task (Spatial),No-DLS,Naive,4,0.36119626880181,0.110490625452635
Task (Spatial),No-DLS,Naive,5,0.209155868113274,0.0391835424568181
Task (Spatial),No-DLS,Naive,6,0.340200131170797,0.581984574941254
Task (Spatial),No-DLS,Naive,7,0.257695652539652,0.0880973642759325
Task (Spatial),No-DLS,Naive,8,0.312112573949424,0.176687260906074
Task (Spatial),No-DLS,Naive,9,0.28763510413113,0.0618918854677896
Task (Spatial),No-DLS,Naive,10,0.353464710617403,0.070030701123539
Task (Spatial),No-DLS,Naive,11,0.316704223775532,0.0385821000041877
Task (Spatial),No-DLS,Naive,13,0.330046948373943,0.0638489492941162
Task (Spatial),No-DLS,Naive,14,0.313227720079679,0.162105698337603
Task (Spatial),No-DLS,Naive,15,0.46637437493808,0.593618299737768
Task (Spatial),No-DLS,Intermediate,1,0.245860853162158,0.0744290534150763
Task (Spatial),No-DLS,Intermediate,2,0.293876061945542,0.092911426897457
Task (Spatial),No-DLS,Intermediate,3,0.301539142301233,0.260781899024103
Task (Spatial),No-DLS,Intermediate,4,0.334553921978945,0.111569748339604
Task (Spatial),No-DLS,Intermediate,5,0.186530121861751,0.0409621475412542
Task (Spatial),No-DLS,Intermediate,6,0.366074339626212,0.596843986472926
Task (Spatial),No-DLS,Intermediate,7,0.193577383622705,0.106705225635826
Task (Spatial),No-DLS,Intermediate,8,0.314600494515697,0.185723973653389
Task (Spatial),No-DLS,Intermediate,9,0.225928599355782,0.0941850947860461
Task (Spatial),No-DLS,Intermediate,10,0.377405392071221,0.0775471198044259
Task (Spatial),No-DLS,Intermediate,11,0.208807960198853,0.0482646084250238
Task (Spatial),No-DLS,Intermediate,13,0.342712888826925,0.0517603215867092
Task (Spatial),No-DLS,Intermediate,14,0.34392386515553,0.232691535384162
Task (Spatial),No-DLS,Intermediate,15,0.441961419142307,0.5500236354188
Task (Spatial),No-DLS,Expert,1,0.211278695855048,0.0774139936865382
Task (Spatial),No-DLS,Expert,2,0.284235881481093,0.0841532574569738
Task (Spatial),No-DLS,Expert,3,0.354237318912391,0.233702371106095
Task (Spatial),No-DLS,Expert,4,0.298027334120249,0.110752685523358
Task (Spatial),No-DLS,Expert,5,0.165557458248948,0.0421678240789783
Task (Spatial),No-DLS,Expert,6,0.373274178378645,0.588725227096758
Task (Spatial),No-DLS,Expert,7,0.158152962945241,0.110327283253387
Task (Spatial),No-DLS,Expert,8,0.280375504576992,0.193344335572636
Task (Spatial),No-DLS,Expert,9,0.21956774301863,0.111456337414322
Task (Spatial),No-DLS,Expert,10,0.367401130509974,0.0851105795258599
Task (Spatial),No-DLS,Expert,11,0.200371110985648,0.051727501867807
Task (Spatial),No-DLS,Expert,13,0.35987965102034,0.0954814927289148
Task (Spatial),No-DLS,Expert,14,0.358307127109922,0.19294919984111
Task (Spatial),No-ACC,Naive,1,0.30626300667854,0.0939531117372373
Task (Spatial),No-ACC,Naive,2,0.368361773223696,0.0727265641950761
Task (Spatial),No-ACC,Naive,3,0.311592414810852,0.166353630161834
Task (Spatial),No-ACC,Naive,4,0.352473503545287,0.0733296567384778
Task (Spatial),No-ACC,Naive,5,0.267313612610059,0.0291088011834731
Task (Spatial),No-ACC,Naive,6,0.390236692146585,0.76060241555121
Task (Spatial),No-ACC,Naive,7,0.346487556075268,0.386059727661815
Task (Spatial),No-ACC,Naive,8,0.321665319322311,0.413036127480104
Task (Spatial),No-ACC,Naive,9,0.359645082554161,0.134661548406976
Task (Spatial),No-ACC,Naive,10,0.349852114580788,0.064374706929741
Task (Spatial),No-ACC,Naive,11,0.309887000618019,0.0505002009442467
Task (Spatial),No-ACC,Naive,13,0.366379118424785,0.0483185472032831
Task (Spatial),No-ACC,Naive,14,0.326759754154175,0.131283965821977
Task (Spatial),No-ACC,Naive,15,0.334347826576373,0.178076482136137
Task (Spatial),No-ACC,Intermediate,1,0.244715406413069,0.0784610211322759
Task (Spatial),No-ACC,Intermediate,2,0.260687557811758,0.0839664618657124
Task (Spatial),No-ACC,Intermediate,3,0.342730501499224,0.361671750611609
Task (Spatial),No-ACC,Intermediate,4,0.314568820217026,0.0825159748339835
Task (Spatial),No-ACC,Intermediate,5,0.190980358151487,0.0394511833707005
Task (Spatial),No-ACC,Intermediate,6,0.391158107785028,0.798955068778595
Task (Spatial),No-ACC,Intermediate,7,0.352434017004923,0.434482966553869
Task (Spatial),No-ACC,Intermediate,8,0.334369119758393,0.456769378741578
Task (Spatial),No-ACC,Intermediate,9,0.31391903703673,0.182129714380976
Task (Spatial),No-ACC,Intermediate,10,0.374652925648787,0.0718386189642246
Task (Spatial),No-ACC,Intermediate,11,0.235896657440451,0.0659040988090307
Task (Spatial),No-ACC,Intermediate,13,0.384037900118629,0.0688060271377071
Task (Spatial),No-ACC,Intermediate,14,0.287897803006431,0.150408023607513
Task (Spatial),No-ACC,Intermediate,15,0.315709665236952,0.158240704724445
Task (Spatial),No-ACC,Expert,1,0.212400966143041,0.0798633807690262
Task (Spatial),No-ACC,Expert,2,0.227543883111677,0.0659924875596742
Task (Spatial),No-ACC,Expert,3,0.378278184910545,0.279463571231348
Task (Spatial),No-ACC,Expert,4,0.302520369699586,0.0877931294469821
Task (Spatial),No-ACC,Expert,5,0.276303810338521,0.0313190764566135
Task (Spatial),No-ACC,Expert,6,0.385108298651741,0.78641508287167
Task (Spatial),No-ACC,Expert,7,0.339549249244869,0.405879525202038
Task (Spatial),No-ACC,Expert,8,0.311746023020775,0.452903604138295
Task (Spatial),No-ACC,Expert,9,0.29970669512494,0.203148967998952
Task (Spatial),No-ACC,Expert,10,0.384866846363113,0.0885882977434241
Task (Spatial),No-ACC,Expert,11,0.208587067719506,0.0651149090538716
Task (Spatial),No-ACC,Expert,13,0.384737578678531,0.119537882061896
